compound,control-1,control-2,control-3,control-4,control-5,control-6,treated-1,treated-2,treated-3,treated-4,treated-5,treated-6
Aspartate,0.221,0.097,0.905,0.584,0.073,0.27,0.343,1,0.066,0.097,0.428,0.881
Creatinine,1,0.512,0.471,0.476,0.629,0.36,0.404,0.705,0.568,0.518,0.382,0.265
Glucose,0.45,0.248,0.056,0.051,1,0.458,0.085,0.948,0.309,0.45,0.188,0.196
Glycine,0.438,0.875,0.553,0.576,0.734,1,0.29,0.735,0.981,0.663,0.354,0.789
Homocysteine,0.55,0.613,0.954,0.788,0.824,0.824,0.896,0.323,0.704,1,0.651,0.764
Leucine,0.844,0.754,0.838,0.768,0.806,0.752,0.582,0.291,0.776,1,0.633,0.631
Lysine,1,0.725,0.821,0.654,0.223,0.214,0.448,0.505,0.189,0.298,0.341,0.771
Methionine,0.221,0.57,1,0.747,0.389,0.601,0.589,0.334,0.302,0.593,0.254,0.138
Phenylalanine,0.762,0.569,1,0.809,0.706,0.767,0.761,0.584,0.631,0.901,0.646,0.583
Proline,0.129,0.158,0.815,1,0.281,0.123,0.266,0.263,0.247,0.176,0.101,0.696
Serine,0.725,0.489,0.217,0.173,0.953,0.801,0.227,0.437,1,0.967,0.291,0.499
Threonine,0.685,0.72,0.462,0.46,0.599,0.706,0.331,0.641,0.484,0.546,0.408,0.479
Tyrosine,0.138,0.524,1,0.806,0.255,0.654,0.47,0.415,0.224,0.483,0.182,0.077
Urea,0,0.431,1,0.335,0.033,0.407,0.581,0.226,0.003,0.264,0,0.003
Valine,0.698,0.484,0.241,0.199,0.945,0.828,0.248,0.43,1,0.983,0.329,0.562
Adenosine,0.485,0.303,1,0.816,0.335,0.306,0.39,0.27,0.343,0.745,0.246,0.29
AMP,0.314,1,0.067,0.086,0.496,0.61,0.779,0.633,0.033,0.043,0.28,0.17
ATP,0.001,0.002,0.143,0.1,0.007,0.005,0.009,0.07,0.008,0.015,0.153,0.953
Choline,0.4,0.498,1,0.536,0.231,0.352,0.506,0.225,0.203,0.593,0.352,0.209
Citrate,0.965,0.842,0.447,0.396,0.769,0.664,0.257,0.138,0.601,1,0.208,0.136
